hhid,round,comment,s7q1a,s7q1a2,s7q1b,s7q1b2,s7q1c,s7q1c2,s7q2,s7q4a,s7q4a2,s7q4b,s7q4b2,s7q5a,s7q5a2,s7q5b,s7q5b2,s7q5c,s7q5c2,s7q5d,s7q5d2,s7q5e,s7q5e2,s7q5f,s7q5f2,s7q6,s7q6a,s7q6b,s7q6c,s7q6d,s7q6e,s7q7,s7q8a,s7q8b,s7q8c,s7q8d,s7q8e,s7q8f,s7q8g,s7q8h,s7q8i,s7q8j,s7q8_other,s7q9_1,s7q9_2,s7q9_3
1005,3,0,,,,,,,Above normal,Source of household saving and status,,Source of food from milk,,Food aid,,Petty trading,,Casual labor,,Food aid,,,,,,,0,1,2,3,,,,,,,,,,,,,,,,
1005,4,0,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Casual labor,,Petty trading,,Casual labor,,Petty trading,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,
1005,5,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Petty trading,,Petty trading,,Petty trading,,Petty trading,,,,,,,1,3,2,3,,Yes,Yes,No,No,No,No,No,No,No,No,No,,Reduce the number of meals eaten each day,,
1005,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,Yes,No,No,,,,
1006,1,,Lack of rain and forage availability,,Raiding,,Disease outbreak,,Above normal,Source of food from milk,,Source of food from meat and blood,,Petty trading,,Petty trading,,Petty trading,,Petty trading,,Crop cultivation,,Crop cultivation,,.25,,,,,,,,,,,,,,,,,,,,
1006,2,,,,,,,,Normal,Source of household saving and status,,Ploughing,,Transfer from family (outside of hh),,Transfer from family (outside of hh),,Transfer from family (outside of hh),,Transfer from family (outside of hh),,,,,,,8,4,2,2,,,,,,,,,,,,,,,,
1006,3,0,,,,,,,Normal,Source of household saving and status,,Source of income from livestock trading,,Petty trading,,Crop cultivation,,Food aid,,Crop cultivation,,,,,,,0,2,1,2,,,,,,,,,,,,,,,,
1006,4,0,,,,,,,Normal,Do not own livestock,,,,Transfer from family (outside of hh),,Transfer from family (outside of hh),,Transfer from family (outside of hh),,Transfer from family (outside of hh),,,,,,,1,1,1,0,,,,,,,,,,,,,,,,
1006,5,0,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Transfer from family (outside of hh),,Transfer from family (outside of hh),,Transfer from family (outside of hh),,Transfer from family (outside of hh),,,,,,,0,0,2,2,,No,,,,,,,,,,,,,,
1006,6,0,,,,,,,Much below normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,Yes,No,No,,,,
1007,1,,Lack of rain and forage availability,,Raiding,,Disease outbreak,,Somewhat below normal,Source of food from milk,,Source of household saving and status,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,.5,,,,,,,,,,,,,,,,,,,,
1007,2,,,,,,,,Much below normal,Source of household saving and status,,Ploughing,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,,,,,,4,6,4,4,,,,,,,,,,,,,,,,
1007,3,0,,,,,,,Above normal,Source of household saving and status,,Source of food from milk,,Other (specify),EARNINGS FROM RENT,Crop cultivation,,Other (specify),EARNING FROM RENT,Other (specify),EARNING FROM RENT,,,,,,0,0,1,2,,,,,,,,,,,,,,,,
1007,4,0,,,,,,,Normal,Source of income from selling milk,,Source of food from milk,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,,,,,,1,2,1,0,,,,,,,,,,,,,,,,
1007,5,0,,,,,,,Somewhat below normal,Source of income from selling milk,,Source of income from selling livestock,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,,,,,,3,12,5,15,,No,,,,,,,,,,,,,,
1007,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,Yes,No,No,Yes,No,No,No,No,,Increase non-livestock activities,Rely on assistance from others,
1008,1,,Lack of rain and forage availability,,Other (specify),Narrowly defined missing value,Disease outbreak,,Above normal,Ploughing,,Source of food from milk,,Livestock trading,,Petty trading,,Food aid,,Petty trading,,Crop cultivation,,Crop cultivation,,.34999999,,,,,,,,,,,,,,,,,,,,
1008,2,,,,,,,,Much below normal,Source of household saving and status,,No second role,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,,,,,,6,9,3,2,,,,,,,,,,,,,,,,
1008,3,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Crop cultivation,,Crop cultivation,,Food aid,,Crop cultivation,,,,,,,0,0,2,3,,,,,,,,,,,,,,,,
1008,4,0,,,,,,,Above normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Crop cultivation,,Crop cultivation,,Crop cultivation,,,,,,,0,1,2,1,,,,,,,,,,,,,,,,
1008,5,0,,,,,,,Above normal,Source of income from selling livestock,,Source of food from milk,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,,,,,,0,0,1,1,,No,,,,,,,,,,,,,,
1008,6,0,,,,,,,Much below normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,Yes,No,No,,,,
1009,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Normal,Source of food from milk,,Ploughing,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,.40000001,,,,,,,,,,,,,,,,,,,,
1009,2,,,,,,,,Much below normal,Source of food from milk,,Source of household saving and status,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,,,,,,8,6,3,3,,,,,,,,,,,,,,,,
1009,3,1,,,,,,,Somewhat below normal,Source of household saving and status,,Source of food from milk,,Petty trading,,Food aid,,Petty trading,,Food aid,,,,,,,1,2,5,2,,,,,,,,,,,,,,,,
1009,4,0,,,,,,,Above normal,Source of food from milk,,Source of household saving and status,,Livestock keeping,,Crop cultivation,,Livestock keeping,,Crop cultivation,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,
1009,5,0,,,,,,,Above normal,Source of household saving and status,,Source of income from livestock trading,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,,,,,,0,0,1,1,,No,,,,,,,,,,,,,,
1009,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,Yes,No,No,,,,
1010,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of household saving and status,,Source of food from milk,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,.2,,,,,,,,,,,,,,,,,,,,
1010,2,,,,,,,,Much below normal,Source of household saving and status,,.b,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,6,8,2,2,,,,,,,,,,,,,,,,
1010,3,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,0,1,2,3,,,,,,,,,,,,,,,,
1010,4,0,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,2,3,3,4,,,,,,,,,,,,,,,,
1010,5,0,,,,,,,Normal,Source of food from milk,,Source of food from meat and blood,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,0,2,0,0,,No,,,,,,,,,,,,,,
1010,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Sustainable,,No,No,No,No,No,No,No,Yes,No,No,,,,
1011,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Normal,Do not own livestock,,Do not own livestock,,Petty trading,,Petty trading,,Petty trading,,Petty trading,,Petty trading,,Petty trading,,.5,,,,,,,,,,,,,,,,,,,,
1011,2,,,,,,,,Much below normal,Do not own livestock,,.b,,Business owner,,Business owner,,Business owner,,Business owner,,,,,,,4,6,4,4,,,,,,,,,,,,,,,,
1011,3,0,,,,,,,Normal,Do not own livestock,,,,Casual labor,,Business owner,,Casual labor,,Business owner,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,
1011,4,0,,,,,,,Normal,Do not own livestock,,,,Petty trading,,Petty trading,,Petty trading,,Casual labor,,,,,,,1,2,3,4,,,,,,,,,,,,,,,,
1011,5,0,,,,,,,Much below normal,Do not own livestock,,,,Business owner,,Business owner,,Business owner,,Business owner,,,,,,,5,10,6,15,,No,,,,,,,,,,,,,,
1011,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Viable,,No,No,No,No,No,No,No,Yes,No,No,,,,
1012,1,,Lack of rain and forage availability,,Raiding,,Disease outbreak,,Above normal,Source of food from milk,,Source of income from selling milk,,Food aid,,Food aid,,Food aid,,Casual labor,,Livestock keeping,,Livestock keeping,,.34999999,,,,,,,,,,,,,,,,,,,,
1012,2,,,,,,,,Normal,Do not own livestock,,.b,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,,,,,,6,8,3,3,,,,,,,,,,,,,,,,
1012,3,0,,,,,,,Normal,Do not own livestock,,,,Casual labor,,Food aid,,Casual labor,,Food aid,,,,,,,3,5,4,4,,,,,,,,,,,,,,,,
1012,4,0,,,,,,,Somewhat below normal,Do not own livestock,,,,Casual labor,,Casual labor,,Food aid,,Food aid,,,,,,,6,10,7,8,,,,,,,,,,,,,,,,
1012,5,0,,,,,,,Normal,Do not own livestock,,,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,,,,,,3,2,4,3,,No,,,,,,,,,,,,,,
1012,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Destitute,,Yes,No,Yes,No,No,No,No,No,No,No,,Rely on assistance from others,Reduce the number of meals eaten each day,
1013,1,,Lack of rain and forage availability,,Conflict,,Raiding,,Normal,Source of household saving and status,,Source of food from milk,,Petty trading,,Petty trading,,Petty trading,,Petty trading,,Casual labor,,Casual labor,,.5,,,,,,,,,,,,,,,,,,,,
1013,2,,,,,,,,Normal,Source of household saving and status,,.b,,Petty trading,,Petty trading,,Petty trading,,Petty trading,,,,,,,3,5,4,6,,,,,,,,,,,,,,,,
1013,3,0,,,,,,,Normal,Source of household saving and status,,Source of income from selling milk,,Cash transfers (CARE),,Transfer from family (outside of hh),,Petty trading,,Transfer from family (outside of hh),,,,,,,3,4,9,3,,,,,,,,,,,,,,,,
1013,4,0,,,,,,,Normal,Source of food from milk,,Source of household saving and status,,Petty trading,,Petty trading,,Petty trading,,Crop cultivation,,,,,,,1,2,3,5,,,,,,,,,,,,,,,,
1013,5,0,,,,,,,Much below normal,Source of household saving and status,,Source of food from milk,,Business owner,,Crop cultivation,,Business owner,,Crop cultivation,,,,,,,5,10,5,10,,No,,,,,,,,,,,,,,
1013,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,Yes,No,No,,,,
1014,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Source of income from selling milk,,Source of food from milk,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Crop cultivation,,Crop cultivation,,.69999999,,,,,,,,,,,,,,,,,,,,
1014,2,,,,,,,,Much below normal,Source of household saving and status,,.b,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,14,12,8,8,,,,,,,,,,,,,,,,
1014,3,0,,,,,,,Normal,Source of household saving and status,,Ploughing,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,2,3,1,1,,,,,,,,,,,,,,,,
1014,4,0,,,,,,,Normal,Source of household saving and status,,Source of income from selling livestock,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,0,1,0,2,,,,,,,,,,,,,,,,
1014,5,0,,,,,,,Normal,Source of household saving and status,,Source of income from livestock trading,,Crop cultivation,,Crop cultivation,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,2,2,3,3,,No,,,,,,,,,,,,,,
1014,6,0,,,,,,,Much above normal,,,,,,,,,,,,,,,,,,,,,,Viable,,No,No,No,No,No,No,No,Yes,No,No,,,,
1015,1,,Lack of rain and forage availability,,Raiding,,Disease outbreak,,Normal,Do not own livestock,,Do not own livestock,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.5,,,,,,,,,,,,,,,,,,,,
1015,2,,,,,,,,Much below normal,Do not own livestock,,Do not own livestock,,Food aid,,Food aid,,Food aid,,Food aid,,,,,,,12,8,6,6,,,,,,,,,,,,,,,,
1015,3,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Cash transfers (CARE),,Petty trading,,Livestock trading,,Cash transfers (CARE),,,,,,,0,1,2,2,,,,,,,,,,,,,,,,
1015,4,0,,,,,,,Normal,Do not own livestock,,,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,,,,,,1,1,1,3,,,,,,,,,,,,,,,,
1015,5,0,,,,,,,Somewhat below normal,Do not own livestock,,,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,,,,,,3,15,7,18,,Yes,No,No,No,No,No,Yes,No,No,No,No,,Increase non-livestock activities,,
1015,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Destitute,,No,No,No,No,No,No,No,Yes,No,No,,,,
1016,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Normal,Do not own livestock,,Do not own livestock,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,Livestock trading,,.5,,,,,,,,,,,,,,,,,,,,
1016,2,,,,,,,,Above normal,Do not own livestock,,Do not own livestock,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,,,,,,12,8,4,4,,,,,,,,,,,,,,,,
1016,3,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Casual labor,,Casual labor,,Cash transfers (CARE),,Cash transfers (CARE),,,,,,,0,0,2,3,,,,,,,,,,,,,,,,
1016,4,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Transfer from family (outside of hh),,Casual labor,,Casual labor,,Casual labor,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,
1016,5,0,,,,,,,Much below normal,Source of income from selling livestock,,Source of income from selling meat,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,,,,,,2,19,6,15,,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,,Increase non-livestock activities,Send family members to look for work elsewhere,Reduce the number of meals eaten each day
1016,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Destitute,,Yes,No,No,No,No,Yes,No,No,No,No,,Reduce the number of meals eaten each day,Increase non-livestock activities,
1017,1,,Lack of rain and forage availability,,Raiding,,Conflict,,Normal,Ploughing,,Source of food from milk,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,Crop cultivation,,Crop cultivation,,.5,,,,,,,,,,,,,,,,,,,,
1017,2,,,,,,,,Much below normal,Source of household saving and status,,No second role,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,,,,,,14,16,15,15,,,,,,,,,,,,,,,,
1017,3,0,,,,,,,Normal,Source of income from livestock trading,,Source of household saving and status,,Business owner,,Casual labor,,Business owner,,Casual labor,,,,,,,1,3,2,5,,,,,,,,,,,,,,,,
1017,4,0,,,,,,,Normal,Source of income from selling milk,,Source of household saving and status,,Business owner,,Business owner,,Business owner,,Business owner,,,,,,,1,1,1,0,,,,,,,,,,,,,,,,
1017,5,0,,,,,,,Normal,Source of income from selling livestock,,Source of food from meat and blood,,Business owner,,Business owner,,Business owner,,Business owner,,,,,,,0,0,0,0,,Yes,No,No,No,No,No,Yes,No,No,No,No,,Increase non-livestock activities,,
1017,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Sustainable,,No,No,No,Yes,No,Yes,No,No,No,No,,Increase non-livestock activities,Pull children (otherwise in school) out,
1018,1,,Lack of rain and forage availability,,Raiding,,Disease outbreak,,Above normal,Ploughing,,Source of food from milk,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,Crop cultivation,,Crop cultivation,,.25,,,,,,,,,,,,,,,,,,,,
1018,2,,,,,,,,Somewhat below normal,Source of household saving and status,,No second role,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,4,8,4,4,,,,,,,,,,,,,,,,
1018,3,0,,,,,,,Above normal,Source of household saving and status,,Ploughing,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,2,4,3,4,,,,,,,,,,,,,,,,
1018,4,0,,,,,,,Normal,Source of income from selling milk,,Source of food from milk,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,
1018,5,0,,,,,,,Somewhat below normal,Source of income from selling livestock,,Source of food from milk,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,,,,,,1,15,3,5,,Yes,No,No,No,No,No,Yes,No,No,No,No,,Increase non-livestock activities,,
1018,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,Yes,No,No,,,,
1019,1,,Lack of rain and forage availability,,Disease outbreak,,Conflict,,Above normal,Ploughing,,Source of household saving and status,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,.60000002,,,,,,,,,,,,,,,,,,,,
1019,2,,,,,,,,Somewhat below normal,Source of income from selling milk,,Ploughing,,Food aid,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,6,14,10,8,,,,,,,,,,,,,,,,
1019,3,0,,,,,,,Normal,Source of household saving and status,,Source of food from milk,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,0,0,2,3,,,,,,,,,,,,,,,,
1019,4,0,,,,,,,Normal,Source of income from selling milk,,Source of food from milk,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,1,2,2,2,,,,,,,,,,,,,,,,
1019,5,0,,,,,,,Above normal,Source of food from milk,,Source of household saving and status,,Casual labor,,Casual labor,,Casual labor,,Casual labor,,,,,,,0,0,0,1,,No,,,,,,,,,,,,,,
1019,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,Yes,No,No,,,,
1020,1,,Lack of rain and forage availability,,Raiding,,Disease outbreak,,Above normal,Ploughing,,Do not own livestock,,Other (specify),FROM RENTAL HOUSES,Other (specify),FROM RENTAL HOUSES,Other (specify),FROM RENTAL HOUSES,Other (specify),FROM RENTAL HOUSES,Crop cultivation,,Crop cultivation,,.25,,,,,,,,,,,,,,,,,,,,
1020,2,,,,,,,,Much below normal,Source of food from milk,,Source of household saving and status,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,,,,,,3,5,3,3,,,,,,,,,,,,,,,,
1020,3,0,,,,,,,Normal,Source of income from selling milk,,Source of income from livestock trading,,Livestock trading,,Year-round wage/salaried employment,,Livestock trading,,Year-round wage/salaried employment,,,,,,,0,2,4,3,,,,,,,,,,,,,,,,
1021,1,,Lack of rain and forage availability,,Disease outbreak,,Raiding,,Above normal,Source of household saving and status,,Source of food from milk,,Transfer from family (outside of hh),,Other (specify),CASH FROM SO,Other (specify),CASH FROM SO,Other (specify),CASH FROM SO,Other (specify),CASH FROM SO,Other (specify),CASH FROM SO,.30000001,,,,,,,,,,,,,,,,,,,,
1021,2,,,,,,,,Much below normal,Source of household saving and status,,Ploughing,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,,,,,,7,14,8,8,,,,,,,,,,,,,,,,
1021,3,0,,,,,,,Normal,Source of household saving and status,,Ploughing,,Crop cultivation,,Transfer from family (outside of hh),,Crop cultivation,,Transfer from family (outside of hh),,,,,,,0,2,5,1,,,,,,,,,,,,,,,,
1021,4,0,,,,,,,Normal,Ploughing,,Source of household saving and status,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,2,3,3,4,,,,,,,,,,,,,,,,
1021,5,0,,,,,,,Much below normal,Ploughing,,Source of household saving and status,,Crop cultivation,,Crop cultivation,,Crop cultivation,,Crop cultivation,,,,,,,1,2,3,2,,No,,,,,,,,,,,,,,
1021,6,0,,,,,,,Somewhat below normal,,,,,,,,,,,,,,,,,,,,,,Struggling,,No,No,No,No,No,No,No,Yes,No,No,,,,
1022,1,,Lack of rain and forage availability,,Conflict,,Raiding,,Above normal,Source of food from milk,,Source of household saving and status,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,.15000001,,,,,,,,,,,,,,,,,,,,
1022,2,,,,,,,,Much below normal,Source of household saving and status,,No second role,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,6,8,3,3,,,,,,,,,,,,,,,,
1022,3,0,,,,,,,Normal,Source of income from selling milk,,Source of food from milk,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,2,4,3,5,,,,,,,,,,,,,,,,
1022,4,0,,,,,,,Much above normal,Source of food from milk,,Source of income from selling livestock,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,3,0,0,2,,,,,,,,,,,,,,,,
1022,5,0,,,,,,,Much below normal,Source of income from selling livestock,,Source of food from milk,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,Year-round wage/salaried employment,,,,,,,1,19,6,18,,No,,,,,,,,,,,,,,
1022,6,0,,,,,,,Normal,,,,,,,,,,,,,,,,,,,,,,Sustainable,,No,No,No,No,No,No,No,Yes,No,No,,,,
1023,1,,Lack of rain and forage availability,,Raiding,,Conflict,,Above normal,Source of food from milk,,Source of income from selling milk,,Casual labor,,Casual labor,,Casual labor,,Livestock keeping,,Livestock keeping,,Livestock keeping,,.30000001,,,,,,,,,,,,,,,,,,,,
1023,2,,,,,,,,Normal,Source of income from selling milk,,Source of food from milk,,Food aid,,Livestock keeping,,Livestock keeping,,Livestock keeping,,,,,,,6,4,4,4,,,,,,,,,,,,,,,,
