hhid,round,comment,type,direction,s9q2b,s9q2c,s9q2d,s9q3b,s9q4b,s9q5b,transfer_individual_source,transfer_individual_source_other,transferid,value_ld,value_lr,value_sd,value_sr
1005,3,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,400,300,500,0
1005,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,1000,0,0,0
1005,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,490,0,0,0
1005,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,350,500,0,0
1005,5,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,500,400,6000,0
1005,6,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,200,120,300,150
1005,6,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,400,300,250,100
1005,6,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,600,350,300,350
1005,6,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,380,250,150,300
1006,1,,Cash,Received,4000,Relatives outside household,,2000,3000,4000,,,,,,,
1006,2,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,12000,9000,6000,9000
1006,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,32000,21000,19000,26000
1006,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,1200,900,600,900
1006,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,1200,1100,400,1400
1006,5,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,1000,1000,1000,1000
1006,5,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,28000,21000,14000,21000
1006,5,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,2000,2000,2500,2000
1006,5,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,20000,15000,10000,15000
1006,6,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,5000,3000,2000,2000
1006,6,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,1200,600,1000,1000
1006,7,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,35000,25000,30000,20000
1007,1,,Cash,Received,4000,Relatives outside household,,3000,0,0,,,,,,,
1007,3,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,3000,0,0,0
1007,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,550,0,0,0
1007,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,4000,2500,0,6000
1007,4,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,900,0,0,0
1007,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,600,650,400,0
1007,5,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,3000,2000,0,1500
1007,5,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,150,0,0,0
1007,6,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,28000,21000,14000,21000
1007,6,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,20000,15000,10000,15000
1007,6,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,1200,900,0,0
1007,7,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,15000,20000,10000,15000
1008,3,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,2000,2000,1000,0
1008,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,800,600,400,600
1008,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,2000,1000,1500,200
1008,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,1200,800,400,800
1008,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,800,1000,400,600
1008,5,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,4000,1000,2000,5000
1008,5,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,0,10000,0,2000
1008,7,,In-kind,Received,0,,,0,0,0,Other (specify),,,0,0,4000,4000
1009,1,,Cash,Received,3000,Relatives outside household,,2000,0,4000,,,,,,,
1009,2,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,8000,60000,4000,6000
1009,3,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,400,150,100,0
1009,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,800,600,400,600
1009,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,5000,0,0,0
1009,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,1200,8100,600,8100
1009,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,1200,900,600,900
1009,7,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,4500,6000,3000,4500
1009,7,,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,15000,20000,10000,15000
1010,2,,Cash,Given,0,,,0,0,0,Relatives outside household,,1,16000,12000,8000,12000
1010,3,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,16000,12000,8000,12000
1010,3,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,2,48,36,24,36
1010,3,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,212,159,106,159
1010,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,2000,2500,4000,1500
1010,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,400,500,700,500
1010,5,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,16000,12000,8000,12000
1010,6,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,20000,15000,10000,15000
1010,6,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,8000,6000,4000,6000
1011,3,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,15000,3000,15000,0
1011,3,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,1060,795,530,795
1011,4,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,3000,0,0,0
1011,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,70,120,200,150
1011,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,40,70,100,60
1011,5,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,10000,9000,9000,9000
1011,6,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,4000,2500,500,5000
1011,6,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,3000,600,4500,500
1012,3,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,300,0,0,0
1012,3,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,500,200,200,0
1012,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,500,300,100,250
1012,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,2,1000,800,600,800
1012,4,0,Cash,Received,0,,,0,0,0,Neighbor/friend,,1,800,600,400,600
1012,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,2,150,250,300,150
1012,4,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,800,300,350,400
1012,4,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,3000,1500,3000,2000
1012,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,2,150,100,50,200
1013,1,,Cash,Received,4000,Relatives outside household,,2000,0,5000,,,,,,,
1013,2,,Cash,Given,0,,,0,0,0,Relatives outside household,,1,4000,3000,2000,3000
1013,2,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,12000,9000,6000,9000
1013,2,,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,700,0,0,0
1013,3,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,4000,3000,2000,3000
1013,3,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,12000,9000,6000,9000
1013,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,12000,9000,6000,9000
1013,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,400,0,600,0
1013,5,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,9000,9000,9000,9000
1013,5,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,2000,0,0,0
1013,6,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,12000,9000,6000,9000
1014,2,,Cash,Given,0,,,0,0,0,Relatives outside household,,1,8000,6000,4000,6000
1014,3,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,2,5000,2500,8000,6000
1014,3,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,20000,8000,13000,10000
1014,3,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,2,400,350,0,0
1014,3,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,500,1200,400,0
1014,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,2,2000,1500,1000,1500
1014,4,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,1500,1000,1000,2000
1014,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,4000,3000,2000,3000
1014,4,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,1500,1000,1000,2000
1014,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,2,200,150,1000,1500
1014,4,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,1500,0,0,0
1014,5,1,Cash,Given,0,,,0,0,0,Relatives outside household,,1,3000,0,300000,2000
1014,6,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,1300,1000,800,1500
1014,6,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,2,600,900,500,300
1014,6,0,Cash,Received,0,,,0,0,0,Neighbor/friend,,2,550,800,8500,1500
1014,6,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,800,1200,15000,1000
1014,6,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,500,1200,700,900
1014,6,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,2,900,1200,6000,1200
1014,6,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,1150,800,18000,2000
1014,7,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,15000,20000,10000,15000
1015,3,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,1000,0,0,0
1015,3,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,3,60,45,30,45
1015,3,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,424,318,212,318
1015,3,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,2,24,18,12,18
1015,3,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,2,24,18,12,18
1015,3,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,424,318,212,318
1015,3,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,3,60,45,30,45
1015,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,500,300,400,600
1015,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,400,200,350,400
1015,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,400,250,200,300
1015,5,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,1400,0,0,0
1015,6,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,5000,2000,1000,500
1015,6,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,300,300,120,450
1015,7,,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,8000,16000,0,12000
1016,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,4000,3000,2000,3000
1016,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,50,70,90,20
1016,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,400,300,200,300
1016,6,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,2000,0,0,0
1016,7,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,40000,0,0,0
1017,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,1200,900,600,900
1017,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,1200,900,400,900
1017,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,800,500,400,900
1017,6,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,2000,1000,5000,3000
1017,6,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,500,200,200,1000
1018,4,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,120,0,320,0
1018,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,400,250,0,0
1018,6,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,400,200,1000,0
1019,3,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,24000,18000,12000,18000
1019,3,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,2,360,300,140,210
1019,3,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,212,159,106,159
1019,3,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,3,60,45,30,45
1019,3,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,212,159,106,159
1019,4,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,2000,3000,1000,2000
1019,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,300,100,50,100
1019,5,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,0,2000,0,0
1020,1,,Cash,Given,4500,Other (specify),narrowly defined missing value,4500,4500,4500,,,,,,,
1020,1,,Cash,Received,15000,Relatives outside household,,5000,10000,15000,,,,,,,
1020,1,,In-kind,Received,10000,Relatives outside household,,8000,15000,12000,,,,,,,
1020,3,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,10000,15000,10000,8000
1020,7,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,50000,50000,50000,50000
1021,1,,Cash,Received,24000,Relatives outside household,,24000,16000,24000,,,,,,,
1021,2,,Cash,Given,0,,,0,0,0,Relatives outside household,,1,4000,3000,2000,3000
1021,2,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,28000,18000,12000,18000
1021,3,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,20000,15000,10000,15000
1021,3,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,4000,3000,1000,10000
1021,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,150,200,100,120
1021,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,20000,15000,10000,15000
1021,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,45,80,70,120
1021,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,400,700,300,900
1021,6,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,500,500,500,500
1021,6,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,20000,15000,10000,15000
1022,4,0,Cash,Given,0,,,0,0,0,Relatives outside household,,2,3000,1000,3000,3500
1022,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,500,1300,1000,0
1022,5,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,1000,3000,1000,0
1022,5,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,4000,0,0,0
1023,3,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,200,350,100,250
1023,3,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,400,500,0,400
1023,3,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,250,200,150,100
1023,3,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,500,300,300,0
1023,4,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,300,200,250,200
1023,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,2,400,250,200,350
1023,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,4000,3000,2000,3000
1023,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,2,250,300,150,100
1023,4,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,300,200,100,200
1023,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,2,100,120,60,80
1023,4,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,400,315,450,3000
1023,6,0,Cash,Received,0,,,0,0,0,.b,,1,.b,.b,.b,.b
1023,6,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,240,0,0,0
1023,6,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,300,0,0,0
1024,3,1,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,1000,600,0,0
1024,3,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,700,400,350,0
1024,3,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,2,2000,1500,0,0
1024,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,400,500,200,500
1024,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,200,120,80,100
1024,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,120,100,150,200
1024,6,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,3000,200,0,0
1024,6,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,1800,0,500,0
1024,7,,In-kind,Received,0,,,0,0,0,Neighbor/friend,,2,6000,5000,0,0
1025,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,1500,1200,800,750
1025,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,0,0,1800,3000
1025,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,500,150,300,250
1025,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,300,200,360,450
1025,5,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,2000,0,0,0
1025,5,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,0,3000,1000,0
1025,5,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,400,1000,500,500
1025,6,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,3000,0,0,0
1026,3,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,300,100,0,0
1026,3,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,4000,3000,2000,3000
1026,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,400,600,500,800
1026,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,5000,7000,3000,8000
1026,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,400,100,300,200
1026,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,75,60,90,45
1026,5,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,3000,3000,2000,3000
1027,2,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,12000,9000,6000,9000
1027,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,1,800,600,400,600
1027,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,18000,13500,9000,13500
1027,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,1200,900,600,900
1027,4,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,1800,1350,900,500
1027,5,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,8000,6000,4000,6000
1027,6,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,8000,6000,4000,6000
1029,4,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,3000,0,2000,0
1029,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,300,100,300,2000
1029,4,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,2,0,40,500,0
1029,5,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,8000,6000,4000,6000
1031,2,,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,2500,1500,1000,1500
1031,4,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,4000,3000,2000,3000
1031,7,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,12000,16000,8000,12000
1032,2,,Cash,Given,0,,,0,0,0,Relatives outside household,,1,4000,3000,2000,3000
1032,3,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,2,600,400,200,200
1032,3,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,2500,1800,0,0
1032,3,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,4000,3000,1200,5000
1032,4,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,4000,3000,2000,3000
1032,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,40,50,30,50
1032,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,300,50,450,300
1032,6,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,5000,2000,3000,2000
1032,6,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,3400,2500,2800,2000
1033,2,,Cash,Given,0,,,0,0,0,Relatives outside household,,1,8000,6000,4000,6000
1033,4,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,2000,1000,500,1000
1033,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,4000,3000,2000,1000
1033,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,6000,4500,3000,4900
1033,7,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,15000,20000,10000,15000
1034,2,,Cash,Given,0,,,0,0,0,Relatives outside household,,1,800,600,400,600
1034,2,,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,400,300,200,300
1034,4,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,2000,1500,1000,1500
1034,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,8000,6000,4000,4000
1034,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,2000,400,200,200
1034,6,0,Cash,Received,0,,,0,0,0,Other (specify),pension,1,20000,15000,10000,15000
1035,3,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,1300,700,1000,500
1035,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,1,400,200,300,500
1035,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,1,300,400,100,200
1035,5,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,8000,6000,4000,6000
1036,1,,Cash,Given,1000,Relatives outside household,,1000,1000,100,,,,,,,
1036,1,,Cash,Received,10000,Relatives outside household,,10000,1000,10000,,,,,,,
1036,1,,In-kind,Given,2000,Relatives outside household,,2000,1500,2000,,,,,,,
1036,2,,Cash,Given,0,,,0,0,0,Relatives outside household,,1,16000,12000,8000,12000
1036,2,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,32000,24000,16000,24000
1036,2,,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,800,600,400,600
1036,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,2,800,500,1400,1800
1036,4,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,12000,9000,6000,9000
1036,4,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,40000,50000,20000,30000
1036,4,0,Cash,Received,0,,,0,0,0,Neighbor/friend,,2,0,40000,0,10000
1036,4,0,In-kind,Given,0,,,0,0,0,Neighbor/friend,,2,600,400,350,800
1036,4,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,1500,1000,600,1400
1036,4,0,In-kind,Received,0,,,0,0,0,Neighbor/friend,,2,500,380,215,400
1036,4,0,In-kind,Received,0,,,0,0,0,Relatives outside household,,1,1000,1200,3200,2000
1036,5,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,2000,1500,1000,1500
1036,5,0,Cash,Received,0,,,0,0,0,Relatives outside household,,1,40000,30000,20000,30000
1036,5,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,4000,3000,2000,3000
1036,7,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,90000,120000,60000,90000
1037,2,,Cash,Given,0,,,0,0,0,Relatives outside household,,1,1200,800,400,800
1037,2,,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,600,450,300,450
1037,3,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,2,500,300,600,0
1037,3,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,600,150,460,300
1037,4,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,8000,6000,4000,6000
1037,7,,Cash,Received,0,,,0,0,0,Relatives outside household,,1,9000,12000,6000,9000
1038,2,,Cash,Given,0,,,0,0,0,Relatives outside household,,1,12000,9000,6000,9000
1038,3,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,10000,2000,1500,5000
1038,4,0,Cash,Given,0,,,0,0,0,Relatives outside household,,1,400,1200,500,2000
1038,4,0,Cash,Given,0,,,0,0,0,Neighbor/friend,,2,1000,500,800,2500
1038,4,0,In-kind,Given,0,,,0,0,0,Relatives outside household,,1,400,350,300,300
