hhid,round,comment,s9q6a,s9q6b,s9q6c,s9q7a,s9q7b,s9q7c,s9q8a,s9q8b,s9q8c,s9q9,s9q10a,s9q10b,s9q10c,s9q11a,s9q11b,s9q11c,s9q12a,s9q12b,s9q12c,s9q13a,s9q13b,s9q13c,s9q14a,s9q14b,s9q14c,s9q14d,s9q14e,s9q15a,s9q15b,s9q15c,s9q15d,s9q15e,s9q16_1,s9q16_2,s9q16a,s9q16b,s9q16c,s9q16d,s9q16e,s9q16f1,s9q16f2,s9q17a,s9q17b,s9q17c,s9q17d,s9q17e,s9q18a,s9q18b,s9q18c,s9q18d,s9q18e,s9q19a,s9q19b,s9q19c,s9q19d,s9q19e,s9q20a,s9q20b,s9q20c,s9q20d,s9q20e,s9q21a,s9q21b,s9q21c,s9q21d,s9q21e,s9q22a,s9q22b,s9q22c,s9q22d,s9q22e,s9q23a,s9q23b,s9q23c,s9q23d,s9q23e,s9q24a,s9q24b,s9q24c,s9q24d,s9q24e,s9q25a,s9q25b
1005,6,0,No,,,Yes,5,1320,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,10000,5000,5000,10000,Yes,No,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1005,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,1,,Yes,12,438,Yes,9,900,No,,,No,,,,,,,,,,,,,No,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,2,,Yes,9,850,Yes,8,660,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,3,0,Yes,5,1500,No,,,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,4,0,No,,,Yes,7,1100,No,,,No,,,,,,,,,,,,,Yes,6600,0,0,0,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,5,1,No,,,No,,,No,,,No,,,,,,,,,,,,,No,,,,,Yes,1300,0,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,6,1,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,Yes,No,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1006,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,Yes,0,5000,0,5000,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1007,1,,Yes,6,488,No,,,Yes,6,80,No,,,,,,,,,,,,,No,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,2,,Yes,10,1320,No,,,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,3,0,No,,,Yes,5,900,No,,,No,,,,,,,,,,,,,No,,,,,Yes,750,0,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,4,0,Yes,6,6000,No,,,No,,,Yes,Food,,,5,,,21,,,300,,,Yes,3000,0,0,0,Yes,0,500,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,5,0,No,,,No,,,No,,,No,,,,,,,,,,,,,Yes,0,0,500,0,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,6,0,No,,,Yes,7,6300,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,Yes,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1007,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,1,,Yes,6,828,Yes,9,3300,Yes,6,100,No,,,,,,,,,,,,,No,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,2,,Yes,10,1560,Yes,8,2640,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,3,0,Yes,8,3375,Yes,10,6000,Yes,10,210,No,,,,,,,,,,,,,No,,,,,Yes,2000,1000,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,4,0,Yes,8,1620,Yes,7,8800,No,,,No,,,,,,,,,,,,,Yes,22600,0,0,0,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,5,0,No,,,Yes,6,40000,No,,,No,,,,,,,,,,,,,No,,,,,Yes,0,1200,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,6,0,No,,,Yes,3,1600,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,Yes,No,No,,,,,No,,,,,Yes,7000,0,0,0,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1008,7,,,,,,,,,,,Yes,,,,,,,33,,,445,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,Yes,4000,0,4000,4000,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1009,1,,Yes,12,796,Yes,7,4500,Yes,12,60,No,,,,,,,,,,,,,No,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,2,,Yes,10,1620,Yes,8,2640,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,3,0,Yes,12,780,Yes,9,4400,No,,,No,,,,,,,,,,,,,Yes,500,300,0,0,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,4,0,Yes,10,1620,Yes,7,5500,No,,,No,,,,,,,,,,,,,Yes,30600,0,0,0,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,5,0,No,,,Yes,6,9900,No,,,No,,,,,,,,,,,,,No,,,,,Yes,0,1000,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,6,0,No,,,Yes,7,2700,Yes,2,1800,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,Yes,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1009,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,Yes,0,4000,0,8000,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1010,1,,Yes,12,256,Yes,9,1800,Yes,12,100,No,,,,,,,,,,,,,No,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,2,,No,,,Yes,8,660,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,3,0,No,,,Yes,10,1500,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,4,0,No,,,Yes,9,1100,No,,,No,,,,,,,,,,,,,Yes,2000,0,0,0,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,5,0,No,,,No,,,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,6,0,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,Yes,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1010,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,1,,Yes,6,1200,No,,,Yes,2,40,No,,,,,,,,,,,,,No,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,2,,Yes,10,760,No,,,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,3,0,Yes,8,545,No,,,Yes,2,180,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,4,0,Yes,2,600,Yes,9,1100,No,,,No,,,,,,,,,,,,,Yes,13000,0,0,0,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,5,0,No,,,Yes,8,350,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,6,0,No,,,Yes,3,600,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,Yes,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1011,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,1,,Yes,6,836,Yes,9,1800,No,,,No,,,,,,,,,,,,,No,0,0,0,0,Yes,2150,2150,0,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,2,,Yes,10,820,Yes,8,1320,No,,,No,,,,,,,,,,,,,No,,,,,Yes,4350,4350,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,3,0,Yes,6,3000,Yes,8,3000,No,,,No,,,,,,,,,,,,,Yes,300,0,0,0,No,,,,,,,Yes,4300,4300,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,4,0,Yes,6,4550,Yes,8,15000,No,,,Yes,Food,,,1,,,90,,,100,,,Yes,2500,0,0,0,No,,,,,,,Yes,3500,3500,3500,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,5,0,No,,,Yes,8,2200,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,0,10500,7000,10500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,6,0,No,,,Yes,7,1200,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,5000,5000,5000,5000,Yes,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1012,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,1,,Yes,12,730,Yes,7,1900,No,,,No,,,,,,,,,,,,,No,0,0,0,0,Yes,2150,2150,0,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,2,,Yes,12,800,Yes,9,1320,No,,,No,,,,,,,,,,,,,No,,,,,Yes,4300,4300,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,3,0,Yes,10,2000,Yes,9,6500,No,,,No,,,,,,,,,,,,,Yes,600,450,300,450,No,,,,,,,Yes,6400,4300,2150,4300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,4,0,Yes,6,800,Yes,9,1100,No,,,No,,,,,,,,,,,,,Yes,2400,300,200,300,Yes,0,1100,0,0,,,Yes,3500,7000,3500,3500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,5,0,No,,,Yes,4,200,No,,,No,,,,,,,,,,,,,No,,,,,Yes,0,1000,0,500,,,Yes,3500,7000,7000,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1013,6,0,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,No,,,,,Yes,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1013,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,Yes,8000,8000,4000,8000,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1014,1,,Yes,6,3600,Yes,9,48600,Yes,6,540,No,,,,,,,,,,,,,No,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,2,,Yes,10,1670,Yes,8,3300,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,3,0,Yes,6,2000,Yes,1,3000,Yes,8,3960,No,,,,,,,,,,,,,No,,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,4,0,Yes,4,1200,Yes,8,4400,No,,,No,,,,,,,,,,,,,Yes,10000,0,0,0,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,5,0,No,,,Yes,4,4400,No,,,No,,,,,,,,,,,,,No,,,,,Yes,0,900,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1014,6,0,No,,,Yes,5,1980,No,,,No,,,,,,,,,,,,,,,,,,,,,,,No,Yes,No,,,,,Yes,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1014,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,1,,Yes,6,2400,Yes,9,120,Yes,6,100,No,,,,,,,,,,,,,No,0,0,0,0,Yes,2150,2150,0,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,2,,Yes,10,2640,Yes,9,1500,No,,,No,,,,,,,,,,,,,No,,,,,Yes,4300,4300,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,3,0,Yes,10,2076,Yes,10,4500,Yes,10,120,No,,,,,,,,,,,,,No,,,,,Yes,300,0,0,0,,,Yes,4300,2150,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,4,0,Yes,2,2100,Yes,8,3300,No,,,Yes,Food,,,1,,,104,,,300,,,Yes,400,0,0,0,No,,,,,,,Yes,3500,3500,3500,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,5,0,No,,,Yes,9,3300,No,,,No,,,,,,,,,,,,,No,,,,,Yes,1400,600,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1015,6,0,No,,,Yes,6,660,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,10000,5000,5000,10000,No,No,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1015,7,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,1,,Yes,6,12000,Yes,9,0,Yes,6,60,No,,,,,,,,,,,,,No,0,0,0,0,Yes,2150,2150,0,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,2,,Yes,10,420,Yes,8,1320,No,,,No,,,,,,,,,,,,,No,,,,,Yes,4300,4300,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,3,0,Yes,7,1750,Yes,10,3000,Yes,7,120,No,,,,,,,,,,,,,No,,,,,Yes,400,0,0,0,,,Yes,4300,2150,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,4,0,No,,,Yes,9,2200,No,,,No,,,,,,,,,,,,,Yes,4000,0,0,0,No,,,,,,,Yes,3500,3500,3500,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,5,0,No,,,Yes,9,2200,No,,,No,,,,,,,,,,,,,Yes,0,2400,0,0,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,6,0,No,,,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,10000,3500,0,0,Yes,Yes,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1016,7,,,,,,,,,,,Yes,,,,,,,44,,,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,1,,Yes,6,600,Yes,9,900,Yes,6,40,No,,,,,,,,,,,,,No,0,0,0,0,Yes,2150,2150,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,2,,Yes,10,1670,No,,,No,,,No,,,,,,,,,,,,,No,,,,,Yes,2150,2150,2150,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,3,0,Yes,9,16000,Yes,9,5000,Yes,3,3000,No,,,,,,,,,,,,,No,,,,,No,,,,,,,Yes,4300,4300,4300,2150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,4,0,Yes,3,1620,Yes,7,1100,No,,,No,,,,,,,,,,,,,Yes,20000,0,0,0,No,,,,,,,Yes,3500,3500,3500,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,5,0,No,,,No,,,No,,,No,,,,,,,,,,,,,No,,,,,Yes,0,2400,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,6,0,No,,,Yes,2,1800,No,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Yes,10000,0,0,5000,Yes,No,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1017,7,,Yes,1,2000,No,,,No,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,No,,,,,Yes,0,4000,8000,8000,No,,,,,No,,,,,No,,,,,No,,,,,No,,,,,,
1018,1,,Yes,6,320,Yes,9,2700,Yes,6,40,No,,,,,,,,,,,,,No,0,0,0,0,No,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,2,,Yes,10,860,Yes,8,1980,No,,,No,,,,,,,,,,,,,No,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,3,0,Yes,6,1500,Yes,8,7500,Yes,2,800,No,,,,,,,,,,,,,No,,,,,Yes,1050,0,0,0,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,4,0,No,,,Yes,8,5500,No,,,No,,,,,,,,,,,,,Yes,7800,0,0,0,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
