hhid,round,s21q1,s21q2,s21q3,s21q4
13001,7,Yes,Yes,Yes,Yes
13002,7,Yes,No,No,No
13003,7,Yes,No,No,No
13004,7,Yes,No,No,No
13005,7,Yes,No,No,No
13006,7,Yes,No,No,No
13007,7,Yes,Yes,Yes,No
13008,7,Yes,Yes,Yes,Yes
13009,7,Yes,No,No,No
13010,7,Yes,No,Yes,No
13011,7,Yes,Yes,Yes,Yes
13012,7,Yes,Yes,No,Yes
13013,7,Yes,No,No,No
13014,7,Yes,No,No,No
13015,7,Yes,No,No,No
13016,7,Yes,No,Yes,No
13017,7,Yes,No,No,No
13018,7,Yes,No,No,No
13019,7,Yes,No,No,No
13020,7,Yes,No,No,No
13021,7,Yes,No,No,No
13022,7,Yes,No,No,No
13023,7,Yes,No,No,No
13025,7,Yes,No,No,No
13026,7,No,No,No,No
13028,7,Yes,No,No,No
13029,7,Yes,No,No,No
13030,7,Yes,Yes,Yes,Yes
13035,7,Yes,No,Yes,Yes
13036,7,Yes,No,No,Yes
13038,7,Yes,No,No,No
14001,7,Yes,No,No,No
14002,7,Yes,No,No,No
14003,7,Yes,No,No,Yes
14004,7,Yes,Yes,Yes,Yes
14005,7,Yes,No,No,No
14006,7,Yes,No,No,No
14008,7,Yes,Yes,No,No
14009,7,,,,
14010,7,,,,
14011,7,No,No,No,Yes
14012,7,,,,
14013,7,Yes,No,No,No
14014,7,Yes,No,No,No
14015,7,Yes,No,No,No
14016,7,Yes,No,No,No
14017,7,Yes,Yes,No,No
14018,7,Yes,No,No,No
14019,7,Yes,No,No,No
14020,7,Yes,Yes,No,No
14021,7,Yes,Yes,No,Yes
14022,7,Yes,Yes,No,Yes
14024,7,Yes,No,No,No
14027,7,Yes,No,No,No
14028,7,Yes,No,No,No
14029,7,,,,
14030,7,Yes,Yes,No,No
14031,7,Yes,Yes,No,No
14033,7,No,No,I don't know,No
14035,7,Yes,Yes,Yes,Yes
14037,7,Yes,Yes,No,No
14038,7,Yes,No,No,No
14040,7,Yes,No,No,No
14041,7,Yes,No,No,No
14043,7,Yes,No,No,No
14044,7,Yes,No,No,No
14045,7,Yes,No,No,No
14046,7,No,No,No,No
14048,7,Yes,No,No,No
14049,7,Yes,Yes,No,No
14050,7,Yes,No,No,No
14051,7,,,,
14052,7,Yes,No,No,No
14054,7,Yes,Yes,Yes,Yes
14055,7,Yes,No,No,No
14056,7,Yes,No,Yes,No
14057,7,Yes,No,No,No
14058,7,Yes,No,No,No
14060,7,Yes,No,No,No
14061,7,Yes,No,No,No
14062,7,Yes,No,No,No
14064,7,Yes,No,No,No
14065,7,Yes,No,No,No
14066,7,Yes,No,No,No
14067,7,Yes,No,No,No
14068,7,Yes,No,No,No
14069,7,Yes,Yes,Yes,Yes
14071,7,Yes,No,No,No
14073,7,,,,
14075,7,Yes,Yes,Yes,Yes
14076,7,,,,
14077,7,,,,
14078,7,Yes,No,No,No
14082,7,Yes,Yes,No,Yes
14083,7,Yes,No,No,No
14085,7,,,,
14086,7,,,,
14087,7,Yes,No,No,No
14088,7,Yes,No,No,No
14089,7,Yes,No,No,No
14090,7,Yes,No,No,No
14091,7,Yes,No,No,No
14092,7,Yes,No,No,No
14094,7,Yes,No,No,No
14095,7,,,,
14096,7,Yes,No,No,No
14097,7,Yes,No,No,No
14098,7,Yes,No,No,No
14099,7,Yes,No,No,No
14101,7,Yes,No,No,No
14102,7,Yes,No,No,No
14103,7,Yes,No,No,No
14104,7,Yes,Yes,No,No
14105,7,Yes,No,No,No
14106,7,Yes,No,No,No
14108,7,Yes,No,No,Yes
14109,7,Yes,Yes,No,Yes
14110,7,,,,
14111,7,Yes,No,No,No
14112,7,Yes,No,No,No
14113,7,,,,
14114,7,Yes,Yes,No,No
14115,7,Yes,No,No,No
14116,7,Yes,Yes,No,No
14117,7,Yes,No,No,No
14118,7,Yes,Yes,Yes,Yes
14120,7,Yes,Yes,No,Yes
14121,7,Yes,No,No,No
14122,7,Yes,No,No,Yes
14124,7,Yes,Yes,No,Yes
14125,7,Yes,Yes,Yes,Yes
14129,7,,,,
14130,7,Yes,Yes,Yes,No
14134,7,Yes,No,No,No
14137,7,Yes,No,No,No
14138,7,Yes,No,No,No
15001,7,Yes,No,No,No
15002,7,Yes,No,No,No
15003,7,Yes,No,No,No
15005,7,Yes,No,No,No
15006,7,Yes,No,No,No
15007,7,Yes,No,No,No
15008,7,Yes,No,No,No
15009,7,Yes,No,I don't know,I don't know
15010,7,,,,
15012,7,Yes,No,No,No
15013,7,Yes,No,No,No
15014,7,Yes,No,No,No
15016,7,Yes,No,No,No
15018,7,Yes,No,No,No
15019,7,Yes,No,No,No
15020,7,Yes,No,No,No
15021,7,Yes,No,No,No
15022,7,Yes,No,No,No
15023,7,Yes,I don't know,Yes,Yes
15024,7,Yes,No,No,No
15025,7,No,No,No,No
15026,7,Yes,No,No,No
15027,7,Yes,No,No,No
15028,7,Yes,Yes,No,No
15029,7,Yes,No,No,No
15030,7,Yes,Yes,Yes,Yes
15031,7,Yes,Yes,Yes,No
15033,7,Yes,No,No,No
15034,7,Yes,No,No,No
15035,7,Yes,No,Yes,No
15036,7,Yes,No,No,No
15037,7,Yes,No,No,No
15038,7,,,,
15039,7,Yes,No,No,No
15040,7,Yes,Yes,Yes,Yes
15041,7,Yes,No,No,No
15042,7,Yes,Yes,Yes,Yes
15044,7,Yes,No,Yes,No
15046,7,Yes,No,No,No
15047,7,Yes,Yes,Yes,Yes
15049,7,Yes,No,No,No
15050,7,Yes,No,No,No
15052,7,Yes,No,No,No
16001,7,Yes,No,No,No
16004,7,Yes,Yes,Yes,Yes
16006,7,Yes,No,Yes,No
16007,7,Yes,No,Yes,No
16008,7,Yes,No,No,No
16009,7,Yes,No,No,No
16010,7,Yes,No,No,No
16011,7,Yes,No,No,No
16012,7,Yes,No,No,No
16014,7,Yes,No,No,No
16015,7,Yes,Yes,Yes,Yes
16016,7,Yes,No,No,No
16017,7,Yes,No,No,No
16018,7,Yes,No,Yes,Yes
16019,7,Yes,No,No,No
16020,7,Yes,Yes,No,Yes
16021,7,,,,
16022,7,Yes,Yes,Yes,Yes
16023,7,No,No,No,No
16024,7,Yes,No,No,No
16025,7,No,Yes,No,No
16026,7,Yes,No,No,No
16027,7,Yes,No,No,No
16028,7,Yes,No,No,No
16029,7,Yes,No,No,No
16030,7,Yes,No,No,No
16031,7,Yes,No,No,No
16032,7,Yes,Yes,No,Yes
16033,7,,,,
16034,7,Yes,No,No,No
16035,7,,,,
16036,7,Yes,Yes,Yes,Yes
16037,7,Yes,No,No,No
16038,7,Yes,Yes,Yes,Yes
