hhid,round,comment,itemtype,itemtype_os,s11q11
1006,6,0,Other (specify),,0
1006,6,0,Water for animal consumption (that you pay for),,0
1006,6,0,Animal fodder (purchased fodder for donkey etc),,500
1006,6,0,Other supplementary animal feeding,,0
1006,6,0,Vaccinations and other veterinarian service,,0
1006,6,0,Transportation/other transaction costs for animals,,0
1006,6,0,Wages for herders,,0
1007,1,,Water for animal consumption (that you pay for),,16000
1007,1,,Animal fodder (purchased fodder for donkey etc),,10000
1007,1,,Other supplementary animal feeding,,500
1007,1,,Vaccinations and other veterinarian service,,0
1007,1,,Transportation/other transaction costs for animals,,0
1007,1,,Wages for herders,,12000
1007,2,,Other (specify),,0
1007,2,,Water for animal consumption (that you pay for),,0
1007,2,,Animal fodder (purchased fodder for donkey etc),,0
1007,2,,Other supplementary animal feeding,,200
1007,2,,Vaccinations and other veterinarian service,,0
1007,2,,Transportation/other transaction costs for animals,,0
1007,3,0,Other (specify),ANIMAL SALT,25
1007,3,0,Water for animal consumption (that you pay for),,1500
1007,3,0,Animal fodder (purchased fodder for donkey etc),,1600
1007,3,0,Other supplementary animal feeding,,0
1007,3,0,Vaccinations and other veterinarian service,,200
1007,3,0,Transportation/other transaction costs for animals,,0
1007,4,0,Other (specify),,0
1007,4,0,Water for animal consumption (that you pay for),,0
1007,4,0,Animal fodder (purchased fodder for donkey etc),,0
1007,4,0,Other supplementary animal feeding,,0
1007,4,0,Vaccinations and other veterinarian service,,0
1007,4,0,Transportation/other transaction costs for animals,,0
1007,4,0,Wages for herders,,0
1007,5,0,Other (specify),,0
1007,5,0,Water for animal consumption (that you pay for),,0
1007,5,0,Animal fodder (purchased fodder for donkey etc),,0
1007,5,0,Other supplementary animal feeding,,200
1007,5,0,Vaccinations and other veterinarian service,,100
1007,5,0,Transportation/other transaction costs for animals,,0
1007,5,0,Wages for herders,,0
1007,6,0,Other (specify),,0
1007,6,0,Water for animal consumption (that you pay for),,0
1007,6,0,Animal fodder (purchased fodder for donkey etc),,0
1007,6,0,Other supplementary animal feeding,,1800
1007,6,0,Vaccinations and other veterinarian service,,1200
1007,6,0,Transportation/other transaction costs for animals,,0
1007,6,0,Wages for herders,,2000
1008,1,,Water for animal consumption (that you pay for),,6000
1008,1,,Animal fodder (purchased fodder for donkey etc),,12000
1008,1,,Other supplementary animal feeding,,200
1008,1,,Vaccinations and other veterinarian service,,0
1008,1,,Transportation/other transaction costs for animals,,0
1008,1,,Wages for herders,,12000
1008,2,,Other (specify),,0
1008,2,,Water for animal consumption (that you pay for),,0
1008,2,,Animal fodder (purchased fodder for donkey etc),,0
1008,2,,Other supplementary animal feeding,,0
1008,2,,Vaccinations and other veterinarian service,,400
1008,2,,Transportation/other transaction costs for animals,,0
1008,3,0,Other (specify),ANIMAL SALT,360
1008,3,0,Water for animal consumption (that you pay for),,12000
1008,3,0,Animal fodder (purchased fodder for donkey etc),,3500
1008,3,0,Other supplementary animal feeding,,4400
1008,3,0,Vaccinations and other veterinarian service,,1000
1008,3,0,Transportation/other transaction costs for animals,,0
1008,4,0,Other (specify),,0
1008,4,0,Water for animal consumption (that you pay for),,600
1008,4,0,Animal fodder (purchased fodder for donkey etc),,0
1008,4,0,Other supplementary animal feeding,,600
1008,4,0,Vaccinations and other veterinarian service,,1000
1008,4,0,Transportation/other transaction costs for animals,,0
1008,4,0,Wages for herders,,18000
1008,5,0,Other (specify),,0
1008,5,0,Water for animal consumption (that you pay for),,0
1008,5,0,Animal fodder (purchased fodder for donkey etc),,600
1008,5,0,Other supplementary animal feeding,,2000
1008,5,0,Vaccinations and other veterinarian service,,2000
1008,5,0,Transportation/other transaction costs for animals,,0
1008,5,1,Wages for herders,,12000
1008,6,0,Other (specify),,0
1008,6,0,Water for animal consumption (that you pay for),,2200
1008,6,0,Animal fodder (purchased fodder for donkey etc),,3000
1008,6,0,Other supplementary animal feeding,,1000
1008,6,0,Vaccinations and other veterinarian service,,1000
1008,6,0,Transportation/other transaction costs for animals,,0
1008,6,0,Wages for herders,,5000
1008,7,,Water for animal consumption (that you pay for),,15360
1008,7,,Animal fodder (purchased fodder for donkey etc),,13000
1008,7,,Other supplementary animal feeding,,0
1008,7,,Vaccinations and other veterinarian service,,0
1008,7,,Vaccinations and other veterinarian service,,0
1008,7,,Transportation/other transaction costs for animals,,0
1008,7,,Wages for herders,,96000
1009,1,,Other (specify),,0
1009,1,,Water for animal consumption (that you pay for),,3000
1009,1,,Animal fodder (purchased fodder for donkey etc),,15000
1009,1,,Other supplementary animal feeding,,0
1009,1,,Vaccinations and other veterinarian service,,400
1009,1,,Transportation/other transaction costs for animals,,0
1009,2,,Other (specify),,0
1009,2,,Water for animal consumption (that you pay for),,0
1009,2,,Animal fodder (purchased fodder for donkey etc),,0
1009,2,,Other supplementary animal feeding,,0
1009,2,,Vaccinations and other veterinarian service,,1200
1009,2,,Transportation/other transaction costs for animals,,0
1009,3,0,Other (specify),,0
1009,3,0,Water for animal consumption (that you pay for),,0
1009,3,0,Animal fodder (purchased fodder for donkey etc),,4800
1009,3,0,Other supplementary animal feeding,,0
1009,3,0,Vaccinations and other veterinarian service,,1800
1009,3,0,Transportation/other transaction costs for animals,,0
1009,4,0,Other (specify),,0
1009,4,0,Water for animal consumption (that you pay for),,0
1009,4,0,Animal fodder (purchased fodder for donkey etc),,12500
1009,4,0,Other supplementary animal feeding,,250
1009,4,0,Vaccinations and other veterinarian service,,6000
1009,4,0,Transportation/other transaction costs for animals,,0
1009,4,0,Wages for herders,,0
1009,5,0,Other (specify),,0
1009,5,0,Water for animal consumption (that you pay for),,2000
1009,5,0,Animal fodder (purchased fodder for donkey etc),,1000
1009,5,0,Other supplementary animal feeding,,1200
1009,5,0,Vaccinations and other veterinarian service,,2000
1009,5,0,Transportation/other transaction costs for animals,,0
1009,5,0,Wages for herders,,12000
1009,6,0,Other (specify),,0
1009,6,0,Water for animal consumption (that you pay for),,400
1009,6,0,Animal fodder (purchased fodder for donkey etc),,430
1009,6,0,Other supplementary animal feeding,,600
1009,6,0,Vaccinations and other veterinarian service,,500
1009,6,0,Transportation/other transaction costs for animals,,0
1009,6,0,Wages for herders,,0
1010,1,,Other (specify),,0
1010,1,,Water for animal consumption (that you pay for),,0
1010,1,,Animal fodder (purchased fodder for donkey etc),,0
1010,1,,Other supplementary animal feeding,,0
1010,1,,Vaccinations and other veterinarian service,,0
1010,1,,Transportation/other transaction costs for animals,,0
1010,2,,Other (specify),,0
1010,2,,Water for animal consumption (that you pay for),,0
1010,2,,Animal fodder (purchased fodder for donkey etc),,0
1010,2,,Other supplementary animal feeding,,0
1010,2,,Vaccinations and other veterinarian service,,1800
1010,2,,Transportation/other transaction costs for animals,,0
1010,3,0,Other (specify),,0
1010,3,0,Water for animal consumption (that you pay for),,1200
1010,3,0,Animal fodder (purchased fodder for donkey etc),,1050
1010,3,0,Other supplementary animal feeding,,0
1010,3,0,Vaccinations and other veterinarian service,,200
1010,3,0,Transportation/other transaction costs for animals,,0
1010,4,0,Other (specify),,0
1010,4,0,Water for animal consumption (that you pay for),,0
1010,4,0,Animal fodder (purchased fodder for donkey etc),,0
1010,4,0,Other supplementary animal feeding,,0
1010,4,0,Vaccinations and other veterinarian service,,800
1010,4,0,Transportation/other transaction costs for animals,,0
1010,4,0,Wages for herders,,4000
1010,5,0,Other (specify),,0
1010,5,0,Water for animal consumption (that you pay for),,3000
1010,5,0,Animal fodder (purchased fodder for donkey etc),,0
1010,5,0,Other supplementary animal feeding,,0
1010,5,0,Vaccinations and other veterinarian service,,3200
1010,5,0,Transportation/other transaction costs for animals,,0
1010,5,0,Wages for herders,,0
1010,6,0,Other (specify),,0
1010,6,0,Water for animal consumption (that you pay for),,2700
1010,6,0,Animal fodder (purchased fodder for donkey etc),,0
1010,6,0,Other supplementary animal feeding,,2400
1010,6,0,Vaccinations and other veterinarian service,,2400
1010,6,0,Transportation/other transaction costs for animals,,0
1010,6,0,Wages for herders,,0
1011,1,,Other (specify),,0
1011,1,,Water for animal consumption (that you pay for),,0
1011,1,,Animal fodder (purchased fodder for donkey etc),,0
1011,1,,Other supplementary animal feeding,,0
1011,1,,Vaccinations and other veterinarian service,,0
1011,1,,Transportation/other transaction costs for animals,,0
1011,2,,Other (specify),,0
1011,2,,Water for animal consumption (that you pay for),,0
1011,2,,Animal fodder (purchased fodder for donkey etc),,0
1011,2,,Other supplementary animal feeding,,0
1011,2,,Vaccinations and other veterinarian service,,0
1011,2,,Transportation/other transaction costs for animals,,0
1011,3,0,Other (specify),,0
1011,3,0,Water for animal consumption (that you pay for),,0
1011,3,0,Animal fodder (purchased fodder for donkey etc),,0
1011,3,0,Other supplementary animal feeding,,0
1011,3,0,Vaccinations and other veterinarian service,,0
1011,3,0,Transportation/other transaction costs for animals,,0
1011,4,0,Other (specify),,0
1011,4,0,Water for animal consumption (that you pay for),,0
1011,4,0,Animal fodder (purchased fodder for donkey etc),,0
1011,4,0,Other supplementary animal feeding,,0
1011,4,0,Vaccinations and other veterinarian service,,0
1011,4,0,Transportation/other transaction costs for animals,,0
1011,4,0,Wages for herders,,0
1011,5,0,Other (specify),,0
1011,5,0,Water for animal consumption (that you pay for),,0
1011,5,0,Animal fodder (purchased fodder for donkey etc),,0
1011,5,0,Other supplementary animal feeding,,0
1011,5,0,Vaccinations and other veterinarian service,,0
1011,5,0,Transportation/other transaction costs for animals,,0
1011,5,0,Wages for herders,,0
1011,6,0,Other (specify),,0
1011,6,0,Water for animal consumption (that you pay for),,0
1011,6,0,Animal fodder (purchased fodder for donkey etc),,3000
1011,6,0,Other supplementary animal feeding,,0
1011,6,0,Vaccinations and other veterinarian service,,1500
1011,6,0,Transportation/other transaction costs for animals,,0
1011,6,0,Wages for herders,,0
1012,1,,Other (specify),,0
1012,1,,Water for animal consumption (that you pay for),,0
1012,1,,Animal fodder (purchased fodder for donkey etc),,0
1012,1,,Other supplementary animal feeding,,0
1012,1,,Vaccinations and other veterinarian service,,0
1012,1,,Transportation/other transaction costs for animals,,0
1012,2,,Other (specify),,0
1012,2,,Water for animal consumption (that you pay for),,0
1012,2,,Animal fodder (purchased fodder for donkey etc),,0
1012,2,,Other supplementary animal feeding,,0
1012,2,,Vaccinations and other veterinarian service,,0
1012,2,,Transportation/other transaction costs for animals,,0
1012,3,0,Other (specify),,0
1012,3,0,Water for animal consumption (that you pay for),,0
1012,3,0,Animal fodder (purchased fodder for donkey etc),,0
1012,3,0,Other supplementary animal feeding,,0
1012,3,0,Vaccinations and other veterinarian service,,0
1012,3,0,Transportation/other transaction costs for animals,,0
1012,4,0,Other (specify),,0
1012,4,0,Water for animal consumption (that you pay for),,0
1012,4,0,Animal fodder (purchased fodder for donkey etc),,0
1012,4,0,Other supplementary animal feeding,,0
1012,4,0,Vaccinations and other veterinarian service,,0
1012,4,0,Transportation/other transaction costs for animals,,0
1012,4,0,Wages for herders,,0
1012,5,0,Other (specify),,0
1012,5,1,Water for animal consumption (that you pay for),,0
1012,5,0,Animal fodder (purchased fodder for donkey etc),,0
1012,5,0,Other supplementary animal feeding,,0
1012,5,0,Vaccinations and other veterinarian service,,0
1012,5,0,Transportation/other transaction costs for animals,,0
1012,5,0,Wages for herders,,0
1012,6,0,Other (specify),,0
1012,6,0,Water for animal consumption (that you pay for),,0
1012,6,0,Animal fodder (purchased fodder for donkey etc),,0
1012,6,0,Other supplementary animal feeding,,0
1012,6,0,Vaccinations and other veterinarian service,,0
1012,6,0,Transportation/other transaction costs for animals,,0
1012,6,0,Wages for herders,,0
1012,7,,Water for animal consumption (that you pay for),,0
1012,7,,Animal fodder (purchased fodder for donkey etc),,20000
1012,7,,Other supplementary animal feeding,,0
1012,7,,Vaccinations and other veterinarian service,,0
1012,7,,Vaccinations and other veterinarian service,,0
1012,7,,Transportation/other transaction costs for animals,,0
1012,7,,Wages for herders,,0
1013,1,,Water for animal consumption (that you pay for),,800
1013,1,,Animal fodder (purchased fodder for donkey etc),,10000
1013,1,,Other supplementary animal feeding,,100
1013,1,,Vaccinations and other veterinarian service,,0
1013,1,,Transportation/other transaction costs for animals,,0
1013,1,,Wages for herders,,6000
1013,2,,Other (specify),,0
1013,2,,Water for animal consumption (that you pay for),,0
1013,2,,Animal fodder (purchased fodder for donkey etc),,0
1013,2,,Other supplementary animal feeding,,0
1013,2,,Vaccinations and other veterinarian service,,0
1013,2,,Transportation/other transaction costs for animals,,0
1013,3,0,Other (specify),,0
1013,3,0,Water for animal consumption (that you pay for),,0
1013,3,0,Animal fodder (purchased fodder for donkey etc),,1600
1013,3,0,Other supplementary animal feeding,,0
1013,3,0,Vaccinations and other veterinarian service,,1000
1013,3,0,Transportation/other transaction costs for animals,,0
1013,4,0,Other (specify),,0
1013,4,0,Water for animal consumption (that you pay for),,0
1013,4,0,Animal fodder (purchased fodder for donkey etc),,600
1013,4,0,Other supplementary animal feeding,,0
1013,4,0,Vaccinations and other veterinarian service,,100
1013,4,0,Transportation/other transaction costs for animals,,0
1013,4,0,Wages for herders,,0
1013,5,0,Other (specify),,0
1013,5,0,Water for animal consumption (that you pay for),,1500
1013,5,0,Animal fodder (purchased fodder for donkey etc),,0
1013,5,0,Other supplementary animal feeding,,200
1013,5,0,Vaccinations and other veterinarian service,,400
1013,5,0,Transportation/other transaction costs for animals,,0
1013,5,0,Wages for herders,,0
1013,6,0,Other (specify),,0
1013,6,0,Water for animal consumption (that you pay for),,2400
1013,6,0,Animal fodder (purchased fodder for donkey etc),,0
1013,6,0,Other supplementary animal feeding,,500
1013,6,0,Vaccinations and other veterinarian service,,1200
1013,6,0,Transportation/other transaction costs for animals,,0
1013,6,0,Wages for herders,,0
1013,7,,Water for animal consumption (that you pay for),,0
1013,7,,Animal fodder (purchased fodder for donkey etc),,0
1013,7,,Other supplementary animal feeding,,3600
1013,7,,Vaccinations and other veterinarian service,,0
1013,7,,Vaccinations and other veterinarian service,,0
1013,7,,Transportation/other transaction costs for animals,,0
1013,7,,Wages for herders,,0
1014,1,,Other (specify),,0
1014,1,,Water for animal consumption (that you pay for),,0
1014,1,,Animal fodder (purchased fodder for donkey etc),,0
1014,1,,Other supplementary animal feeding,,0
1014,1,,Vaccinations and other veterinarian service,,0
1014,1,,Transportation/other transaction costs for animals,,0
1014,2,,Other (specify),,0
1014,2,,Water for animal consumption (that you pay for),,0
1014,2,,Animal fodder (purchased fodder for donkey etc),,0
1014,2,,Other supplementary animal feeding,,200
1014,2,,Vaccinations and other veterinarian service,,0
1014,2,,Transportation/other transaction costs for animals,,0
1014,3,0,Other (specify),,0
1014,3,0,Water for animal consumption (that you pay for),,0
1014,3,0,Animal fodder (purchased fodder for donkey etc),,0
1014,3,0,Other supplementary animal feeding,,0
1014,3,0,Vaccinations and other veterinarian service,,0
1014,3,0,Transportation/other transaction costs for animals,,0
1014,4,0,Other (specify),,0
1014,4,0,Water for animal consumption (that you pay for),,1200
1014,4,0,Animal fodder (purchased fodder for donkey etc),,0
1014,4,0,Other supplementary animal feeding,,200
1014,4,0,Vaccinations and other veterinarian service,,250
1014,4,0,Transportation/other transaction costs for animals,,0
1014,4,0,Wages for herders,,0
1014,5,0,Other (specify),,0
1014,5,0,Water for animal consumption (that you pay for),,0
1014,5,0,Animal fodder (purchased fodder for donkey etc),,0
1014,5,0,Other supplementary animal feeding,,80
1014,5,0,Vaccinations and other veterinarian service,,250
1014,5,0,Transportation/other transaction costs for animals,,0
1014,5,0,Wages for herders,,0
1014,6,0,Other (specify),,0
1014,6,0,Water for animal consumption (that you pay for),,0
1014,6,0,Animal fodder (purchased fodder for donkey etc),,0
1014,6,0,Other supplementary animal feeding,,600
1014,6,0,Vaccinations and other veterinarian service,,1200
1014,6,0,Transportation/other transaction costs for animals,,0
1014,6,1,Wages for herders,,36000
1015,1,,Other (specify),,0
1015,1,,Water for animal consumption (that you pay for),,40000
1015,1,,Animal fodder (purchased fodder for donkey etc),,0
1015,1,,Other supplementary animal feeding,,200
1015,1,,Vaccinations and other veterinarian service,,0
1015,1,,Transportation/other transaction costs for animals,,0
1015,2,,Other (specify),,0
1015,2,,Water for animal consumption (that you pay for),,0
1015,2,,Animal fodder (purchased fodder for donkey etc),,0
1015,2,,Other supplementary animal feeding,,0
1015,2,,Vaccinations and other veterinarian service,,0
1015,2,,Transportation/other transaction costs for animals,,0
1015,3,0,Other (specify),,0
1015,3,0,Water for animal consumption (that you pay for),,0
1015,3,0,Animal fodder (purchased fodder for donkey etc),,0
1015,3,0,Other supplementary animal feeding,,0
1015,3,0,Vaccinations and other veterinarian service,,0
1015,3,0,Transportation/other transaction costs for animals,,0
1015,4,0,Other (specify),,0
1015,4,0,Water for animal consumption (that you pay for),,0
1015,4,0,Animal fodder (purchased fodder for donkey etc),,0
1015,4,0,Other supplementary animal feeding,,0
1015,4,0,Vaccinations and other veterinarian service,,0
1015,4,0,Transportation/other transaction costs for animals,,0
1015,4,0,Wages for herders,,0
1015,5,0,Other (specify),,0
1015,5,1,Water for animal consumption (that you pay for),,0
1015,5,0,Animal fodder (purchased fodder for donkey etc),,0
1015,5,0,Other supplementary animal feeding,,0
1015,5,0,Vaccinations and other veterinarian service,,0
1015,5,0,Transportation/other transaction costs for animals,,0
1015,5,0,Wages for herders,,0
1015,6,0,Other (specify),,0
1015,6,0,Water for animal consumption (that you pay for),,0
1015,6,1,Animal fodder (purchased fodder for donkey etc),,0
1015,6,0,Other supplementary animal feeding,,0
1015,6,0,Vaccinations and other veterinarian service,,0
1015,6,0,Transportation/other transaction costs for animals,,0
1015,6,0,Wages for herders,,0
1015,7,,Water for animal consumption (that you pay for),,90000
1015,7,,Animal fodder (purchased fodder for donkey etc),,0
1015,7,,Other supplementary animal feeding,,4800
